For M5|Adr     1|TO  1-2.dat                    |                      |                      |                      | 
For M5|Adr     2|TO  AES                        |                      |                      |                      | 
For M5|Adr     3|TO  20230830                   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line      aBFFB     1|                      |                      |                      | 
For M5|Adr     5|KD1     B001                  1|                      |                      |Z        89.92800 m   | 
For M5|Adr     6|KD1     B001      22.0 C  1   1|Rb        1.86667 m   |HD         19.416 m   |                      | 
For M5|Adr     7|KD1        1      23.0 C  1   1|Rf        1.66418 m   |HD         19.601 m   |                      | 
For M5|Adr     8|KD1        1      22.0 C  1   1|Rf        1.66415 m   |HD         19.600 m   |                      | 
For M5|Adr     9|KD1     B001      22.0 C  1   1|Rb        1.86666 m   |HD         19.420 m   |                      | 
For M5|Adr    10|KD1        1      22.0 C      1|                      |                      |Z        90.13050 m   | 
For M5|Adr    11|KD1     B002      22.0 C  1   1|Rf        1.63407 m   |HD          3.231 m   |                      | 
For M5|Adr    12|KD1        1      22.0 C  1   1|Rb        1.61662 m   |HD          3.248 m   |                      | 
For M5|Adr    13|KD1        1      22.0 C  1   1|Rb        1.61669 m   |HD          3.245 m   |                      | 
For M5|Adr    14|KD1     B002      22.0 C  1   1|Rf        1.63406 m   |HD          3.234 m   |                      | 
For M5|Adr    15|KD1     B002      22.0 C      1|                      |                      |Z        90.11309 m   | 
For M5|Adr    16|KD1     B002      22.0 C  1   1|Rb        1.76310 m   |HD         16.699 m   |                      | 
For M5|Adr    17|KD1     N001      22.0 C  1   1|Rf        1.81817 m   |HD         17.025 m   |                      | 
For M5|Adr    18|KD1     N001      22.0 C  1   1|Rf        1.81819 m   |HD         17.026 m   |                      | 
For M5|Adr    19|KD1     B002      22.0 C  1   1|Rb        1.76312 m   |HD         16.703 m   |                      | 
For M5|Adr    20|KD1     N001      22.0 C      1|                      |                      |Z        90.05802 m   | 
For M5|Adr    21|KD1     N002      22.0 C  1   1|Rf        1.43476 m   |HD         26.741 m   |                      | 
For M5|Adr    22|KD1     N001      22.0 C  1   1|Rb        1.72586 m   |HD         26.338 m   |                      | 
For M5|Adr    23|KD1     N001      22.0 C  1   1|Rb        1.72595 m   |HD         26.344 m   |                      | 
For M5|Adr    24|KD1     N002      22.0 C  1   1|Rf        1.43461 m   |HD         26.737 m   |                      | 
For M5|Adr    25|KD1     N002      22.0 C      1|                      |                      |Z        90.34924 m   | 
For M5|Adr    26|KD1     N002      22.0 C  1   1|Rb        1.59020 m   |HD         22.896 m   |                      | 
For M5|Adr    27|KD1     N003      22.0 C  1   1|Rf        1.46364 m   |HD         23.062 m   |                      | 
For M5|Adr    28|KD1     N003      22.0 C  1   1|Rf        1.46353 m   |HD         23.065 m   |                      | 
For M5|Adr    29|KD1     N002      22.0 C  1   1|Rb        1.59029 m   |HD         22.897 m   |                      | 
For M5|Adr    30|KD1     N003      22.0 C      1|                      |                      |Z        90.47590 m   | 
For M5|Adr    31|KD1     N004      21.0 C  1   1|Rf        1.64261 m   |HD         42.473 m   |                      | 
For M5|Adr    32|KD1     N003      21.0 C  1   1|Rb        1.81013 m   |HD         42.243 m   |                      | 
For M5|Adr    33|KD1     N003      21.0 C  1   1|Rb        1.81013 m   |HD         42.241 m   |                      | 
For M5|Adr    34|KD1     N004      21.0 C  1   1|Rf        1.64265 m   |HD         42.497 m   |                      | 
For M5|Adr    35|KD1     N004      21.0 C      1|                      |                      |Z        90.64340 m   | 
For M5|Adr    36|KD1     N004      21.0 C  1   1|Rb        1.78859 m   |HD         42.140 m   |                      | 
For M5|Adr    37|KD1     N005      21.0 C  1   1|Rf        1.39453 m   |HD         42.495 m   |                      | 
For M5|Adr    38|KD1     N005      21.0 C  1   1|Rf        1.39447 m   |HD         42.475 m   |                      | 
For M5|Adr    39|KD1     N004      21.0 C  1   1|Rb        1.78832 m   |HD         42.111 m   |                      | 
For M5|Adr    40|KD1     N005      21.0 C      1|                      |                      |Z        91.03736 m   | 
For M5|Adr    41|TO  Intermediate sight.       1|                      |                      |                      | 
For M5|Adr    42|KD1     B003      21.0 C  1   1|Rz        1.64969 m   |HD          3.801 m   |Z        90.78217 m   | 
For M5|Adr    43|TO  End of interm. sight.     1|                      |                      |                      | 
For M5|Adr    44|KD1     N006      21.0 C  1   1|Rf        1.53939 m   |HD         30.081 m   |                      | 
For M5|Adr    45|KD1     N005      21.0 C  1   1|Rb        1.60108 m   |HD         30.864 m   |                      | 
For M5|Adr    46|KD1     N005      21.0 C  1   1|Rb        1.60087 m   |HD         30.858 m   |                      | 
For M5|Adr    47|KD1     N006      21.0 C  1   1|Rf        1.53942 m   |HD         30.096 m   |                      | 
For M5|Adr    48|KD1     N006      21.0 C      1|                      |                      |Z        91.09893 m   | 
For M5|Adr    49|KD1     N006      21.0 C  1   1|Rb        2.34388 m   |HD         42.394 m   |                      | 
For M5|Adr    50|KD1     N007      21.0 C  1   1|Rf        1.54269 m   |HD         42.448 m   |                      | 
For M5|Adr    51|KD1     N007      21.0 C  1   1|Rf        1.54265 m   |HD         42.440 m   |                      | 
For M5|Adr    52|KD1     N006      21.0 C  1   1|Rb        2.34358 m   |HD         42.391 m   |                      | 
For M5|Adr    53|KD1     N007      21.0 C      1|                      |                      |Z        91.89998 m   | 
For M5|Adr    54|KD1     N008      21.0 C  1   1|Rf        1.98092 m   |HD         22.440 m   |                      | 
For M5|Adr    55|KD1     N007      21.0 C  1   1|Rb        1.78637 m   |HD         22.210 m   |                      | 
For M5|Adr    56|KD1     N007      21.0 C  1   1|Rb        1.78646 m   |HD         22.213 m   |                      | 
For M5|Adr    57|KD1     N008      21.0 C  1   1|Rf        1.98088 m   |HD         22.451 m   |                      | 
For M5|Adr    58|KD1     N008      21.0 C      1|                      |                      |Z        91.70550 m   | 
For M5|Adr    59|KD1     N008      21.0 C  1   1|Rb        2.11341 m   |HD         31.721 m   |                      | 
For M5|Adr    60|KD1     N009      21.0 C  1   1|Rf        1.95407 m   |HD         32.054 m   |                      | 
For M5|Adr    61|KD1     N009      21.0 C  1   1|Rf        1.95410 m   |HD         32.051 m   |                      | 
For M5|Adr    62|KD1     N008      21.0 C  1   1|Rb        2.11329 m   |HD         31.731 m   |                      | 
For M5|Adr    63|KD1     N009      21.0 C      1|                      |                      |Z        91.86476 m   | 
For M5|Adr    64|KD1     N010      21.0 C  1   1|Rf        0.89224 m   |HD         42.624 m   |                      | 
For M5|Adr    65|KD1     N009      21.0 C  1   1|Rb        2.74807 m   |HD         42.140 m   |                      | 
For M5|Adr    66|KD1     N009      21.0 C  1   1|Rb        2.74779 m   |HD         42.135 m   |                      | 
For M5|Adr    67|KD1     N010      21.0 C  1   1|Rf        0.89214 m   |HD         42.632 m   |                      | 
For M5|Adr    68|KD1     N010      21.0 C      1|                      |                      |Z        93.72051 m   | 
For M5|Adr    69|KD1     N010      21.0 C  1   1|Rb        2.21776 m   |HD         25.868 m   |                      | 
For M5|Adr    70|KD1     N011      21.0 C  1   1|Rf        1.78575 m   |HD         26.112 m   |                      | 
For M5|Adr    71|KD1     N011      21.0 C  1   1|Rf        1.78573 m   |HD         26.115 m   |                      | 
For M5|Adr    72|KD1     N010      21.0 C  1   1|Rb        2.21775 m   |HD         25.871 m   |                      | 
For M5|Adr    73|KD1     N011      21.0 C      1|                      |                      |Z        94.15252 m   | 
For M5|Adr    74|KD1     N012      21.0 C  1   1|Rf        1.85213 m   |HD         15.638 m   |                      | 
For M5|Adr    75|KD1     N011      21.0 C  1   1|Rb        1.46566 m   |HD         16.063 m   |                      | 
For M5|Adr    76|KD1     N011      21.0 C  1   1|Rb        1.46570 m   |HD         16.061 m   |                      | 
For M5|Adr    77|KD1     N012      21.0 C  1   1|Rf        1.85215 m   |HD         15.635 m   |                      | 
For M5|Adr    78|KD1     N012      21.0 C      1|                      |                      |Z        93.76606 m   | 
For M5|Adr    79|KD1     N012      21.0 C  1   1|Rb        1.43941 m   |HD         17.656 m   |                      | 
For M5|Adr    80|KD1     N013      21.0 C  1   1|Rf        1.50112 m   |HD         17.259 m   |                      | 
For M5|Adr    81|KD1     N013      21.0 C  1   1|Rf        1.50112 m   |HD         17.259 m   |                      | 
