For M5|Adr     1|TO  3.dat                      |                      |                      |                      | 
For M5|Adr     2|TO  AES                        |                      |                      |                      | 
For M5|Adr     3|TO  20230831                   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line      aBFFB     1|                      |                      |                      | 
For M5|Adr     5|KD1     N033                  1|                      |                      |Z       100.00000 m   | 
For M5|Adr     6|KD1     N033      23.0 C  1   1|Rb        1.75083 m   |HD         19.449 m   |                      | 
For M5|Adr     7|KD1        1      23.0 C  1   1|Rf        1.77791 m   |HD         19.733 m   |                      | 
For M5|Adr     8|KD1        1      23.0 C  1   1|Rf        1.77802 m   |HD         19.727 m   |                      | 
For M5|Adr     9|KD1     N033      23.0 C  1   1|Rb        1.75052 m   |HD         19.448 m   |                      | 
For M5|Adr    10|KD1        1      23.0 C      1|                      |                      |Z        99.97271 m   | 
For M5|Adr    11|KD1     N035      23.0 C  1   1|Rf        1.80825 m   |HD         42.435 m   |                      | 
For M5|Adr    12|KD1        1      23.0 C  1   1|Rb        1.51250 m   |HD         42.521 m   |                      | 
For M5|Adr    13|KD1        1      24.0 C  1   1|Rb        1.51244 m   |HD         42.555 m   |                      | 
For M5|Adr    14|KD1     N035      23.0 C  1   1|Rf        1.80824 m   |HD         42.466 m   |                      | 
For M5|Adr    15|KD1     N035      23.0 C      1|                      |                      |Z        99.67694 m   | 
For M5|Adr    16|KD1     N035      24.0 C  1   1|Rb        1.62525 m   |HD          1.860 m   |                      | 
For M5|Adr    17|KD1        3      24.0 C  1   1|Rf        1.71791 m   |HD          1.965 m   |                      | 
For M5|Adr    18|KD1        3      24.0 C  1   1|Rf        1.71787 m   |HD          1.965 m   |                      | 
For M5|Adr    19|KD1     N035      24.0 C  1   1|Rb        1.62524 m   |HD          1.862 m   |                      | 
For M5|Adr    20|KD1        3      24.0 C      1|                      |                      |Z        99.58429 m   | 
For M5|Adr    21|KD1     B003      24.0 C  1   1|Rf        1.71775 m   |HD          1.964 m   |                      | 
For M5|Adr    22|KD1        3      24.0 C  1   1|Rb        1.71799 m   |HD          1.971 m   |                      | 
For M5|Adr    23|KD1        3      24.0 C  1   1|Rb        1.71791 m   |HD          1.979 m   |                      | 
For M5|Adr    24|KD1     B003      24.0 C  1   1|Rf        1.71780 m   |HD          1.961 m   |                      | 
For M5|Adr    25|KD1     B003      24.0 C      1|                      |                      |Z        99.58447 m   | 
For M5|Adr    26|KD1     B003      24.0 C  1   1|Rb        1.71778 m   |HD          1.961 m   |                      | 
For M5|Adr    27|KD1     N035      24.0 C  1   1|Rf        1.62545 m   |HD          1.867 m   |                      | 
For M5|Adr    28|KD1     N035      24.0 C  1   1|Rf        1.62546 m   |HD          1.868 m   |                      | 
For M5|Adr    29|KD1     B003      24.0 C  1   1|Rb        1.71777 m   |HD          1.959 m   |                      | 
For M5|Adr    30|KD1     N035      24.0 C      1|                      |                      |Z        99.67679 m   | 
For M5|Adr    31|KD1     N034      24.0 C  1   1|Rf        1.54594 m   |HD         42.493 m   |                      | 
For M5|Adr    32|KD1     N035      24.0 C  1   1|Rb        1.84173 m   |HD         42.430 m   |                      | 
For M5|Adr    33|KD1     N035      24.0 C  1   1|Rb        1.84209 m   |HD         42.429 m   |                      | 
For M5|Adr    34|KD1     N034      24.0 C  1   1|Rf        1.54605 m   |HD         42.520 m   |                      | 
For M5|Adr    35|KD1     N034      24.0 C      1|                      |                      |Z        99.97270 m   | 
For M5|Adr    36|KD1     N034      24.0 C  1   1|Rb        1.63691 m   |HD         25.306 m   |                      | 
For M5|Adr    37|KD1     N036      24.0 C  1   1|Rf        1.49594 m   |HD         25.037 m   |                      | 
For M5|Adr    38|KD1     N036      24.0 C  1   1|Rf        1.49599 m   |HD         25.015 m   |                      | 
For M5|Adr    39|KD1     N034      24.0 C  1   1|Rb        1.63690 m   |HD         25.312 m   |                      | 
For M5|Adr    40|KD1     N036      24.0 C      1|                      |                      |Z       100.11364 m   | 
For M5|Adr    41|KD1     N037      24.0 C  1   1|Rf        1.60088 m   |HD         20.987 m   |                      | 
For M5|Adr    42|KD1     N036      24.0 C  1   1|Rb        1.54018 m   |HD         20.916 m   |                      | 
For M5|Adr    43|KD1     N036      24.0 C  1   1|Rb        1.54021 m   |HD         20.911 m   |                      | 
For M5|Adr    44|KD1     N037      24.0 C  1   1|Rf        1.60072 m   |HD         20.988 m   |                      | 
For M5|Adr    45|KD1     N037      24.0 C      1|                      |                      |Z       100.05303 m   | 
For M5|Adr    46|KD1     N037      25.0 C  1   1|Rb        1.76912 m   |HD         20.471 m   |                      | 
For M5|Adr    47|KD1     N038      25.0 C  1   1|Rf        1.51506 m   |HD         20.835 m   |                      | 
For M5|Adr    48|KD1     N038      25.0 C  1   1|Rf        1.51511 m   |HD         20.840 m   |                      | 
